,domain,ip,rrtype,source,first_seen,last_seen
0,170-106-39-225.ipv4.nknlabs.io,170.106.39.225,A,VirusTotal,2021-04-26 03:58:44,2021-04-26 03:58:44
1,vietinbankees.top,170.106.39.225,A,VirusTotal,2021-06-09 01:50:42,2021-06-09 01:50:42
2,vietinbankeies.top,170.106.39.225,A,VirusTotal,2021-06-09 11:08:44,2021-06-09 11:08:44
3,vietinbankeos.top,170.106.39.225,A,VirusTotal,2021-06-06 09:45:36,2021-06-06 09:45:36
4,vietinbankets.top,170.106.39.225,A,VirusTotal,2021-06-06 07:56:39,2021-06-06 07:56:39
5,vietinbankevs.cc,170.106.39.225,A,VirusTotal,2021-06-08 10:43:16,2021-06-08 10:43:16
6,www.vietinbankevs.cc,170.106.39.225,A,VirusTotal,2021-06-08 10:43:51,2021-06-08 10:43:51
7,vietinbankevs.cc,170.106.39.225,A,Risk IQ,2021-06-05 07:06:27,2021-06-16 19:10:48
8,vietinbankets.top,170.106.39.225,A,Risk IQ,2021-06-04 18:07:16,2021-06-16 19:11:03
9,170-106-39-225.ipv4.nknlabs.io,170.106.39.225,A,Risk IQ,2021-04-25 10:23:25,2021-05-17 01:24:28
10,vietinbankees.top,170.106.39.225,A,Risk IQ,2021-06-07 01:13:37,2021-06-16 20:03:01
11,www.vietinbankees.top,170.106.39.225,A,Risk IQ,2021-06-07 08:25:55,2021-06-07 08:25:55
12,vietinbankeos.top,170.106.39.225,A,Risk IQ,2021-06-04 01:59:51,2021-06-06 22:38:46
13,vietinbankeies.top,170.106.39.225,A,Risk IQ,2021-06-08 02:51:32,2021-06-16 19:10:45
14,www.vietinbankets.top,170.106.39.225,A,Risk IQ,2021-06-05 02:25:48,2021-06-16 05:06:32
15,www.vietinbankeos.top,170.106.39.225,A,Risk IQ,2021-06-05 12:59:31,2021-06-05 12:59:31
